"","long","lat","order","hole","piece","group","id"
"274",-95.7118481,29.94400322,10254,FALSE,"1","1055.1",1055
"275",-95.7107181,29.94420922,10255,FALSE,"1","1055.1",1055
"276",-95.7100921,29.94442122,10256,FALSE,"1","1055.1",1055
"277",-95.7095251,29.94469922,10257,FALSE,"1","1055.1",1055
"278",-95.7090271,29.94499922,10258,FALSE,"1","1055.1",1055
"279",-95.7079811,29.94573522,10259,FALSE,"1","1055.1",1055
"280",-95.7069791,29.94644922,10260,FALSE,"1","1055.1",1055
"281",-95.7064241,29.94683322,10261,FALSE,"1","1055.1",1055
"282",-95.7058991,29.94725222,10262,FALSE,"1","1055.1",1055
"283",-95.7055451,29.94761722,10263,FALSE,"1","1055.1",1055
"284",-95.7052681,29.94793022,10264,FALSE,"1","1055.1",1055
"285",-95.7049561,29.94837822,10265,FALSE,"1","1055.1",1055
"286",-95.7047371,29.94873222,10266,FALSE,"1","1055.1",1055
"287",-95.7045311,29.94926222,10267,FALSE,"1","1055.1",1055
"288",-95.7043601,29.94984022,10268,FALSE,"1","1055.1",1055
"289",-95.7040241,29.95128522,10269,FALSE,"1","1055.1",1055
"290",-95.7035041,29.95336723,10270,FALSE,"1","1055.1",1055
"291",-95.7032661,29.95457623,10271,FALSE,"1","1055.1",1055
"292",-95.7029631,29.95581923,10272,FALSE,"1","1055.1",1055
"293",-95.7028581,29.95623223,10273,FALSE,"1","1055.1",1055
"294",-95.7028251,29.95636123,10274,FALSE,"1","1055.1",1055
"295",-95.7027391,29.95685123,10275,FALSE,"1","1055.1",1055
"296",-95.7026861,29.95721023,10276,FALSE,"1","1055.1",1055
"297",-95.7026681,29.95760523,10277,FALSE,"1","1055.1",1055
"298",-95.7026801,29.95801223,10278,FALSE,"1","1055.1",1055
"299",-95.7026741,29.95891423,10279,FALSE,"1","1055.1",1055
"300",-95.7027031,29.95951623,10280,FALSE,"1","1055.1",1055
"301",-95.7026951,29.96104723,10281,FALSE,"1","1055.1",1055
"302",-95.7026911,29.96148723,10282,FALSE,"1","1055.1",1055
"303",-95.7027501,29.96382023,10283,FALSE,"1","1055.1",1055
"304",-95.7027681,29.96583123,10284,FALSE,"1","1055.1",1055
"305",-95.7027861,29.96668723,10285,FALSE,"1","1055.1",1055
"306",-95.7028041,29.96737023,10286,FALSE,"1","1055.1",1055
